"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[progenitor cell type]"	"Sample Characteristic Ontology Term[progenitor cell type]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[growth condition]"	"Sample Characteristic Ontology Term[growth condition]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"	"Factor Value[individual]"	"Factor Value Ontology Term[individual]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"	"Factor Value[cell line]"	"Factor Value Ontology Term[cell line]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2967110"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G10_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967111"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G11_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967112"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G12_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967113"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G1_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967114"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G2_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967115"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G3_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967116"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G4_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967117"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G5_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967118"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G6_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967119"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G6_hOrg33d_c2"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967120"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G7_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967121"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G7_hOrg33d_c2"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967122"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G8_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967123"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G8_hOrg33d_c2"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967124"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_G9_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967125"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H10_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967126"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H11_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967127"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H12_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967128"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H1_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967129"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H1_hOrg33d_c2"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967130"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H2_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967131"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H2_hOrg33d_c2"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
